,index,State ID,Total_Cases,Total_Death,Year,Disease ID,No. of Doctors
0,0,111,48602,9,2011,1,4370.0
1,4,111,0,0,2004,1,3058.8006300630104
2,12,111,25978,9,2003,1,3727.0
3,13,111,57088,7,2012,1,3060.17722800633
4,15,112,20667,200,2016,1,3157.0
5,16,112,145047,232,2013,1,3061.55444548068
6,17,112,0,0,1999,1,3062.93228276487
7,18,112,0,0,2004,1,3064.31074013786
8,19,112,555178,3,2009,1,3065.6898178786896
9,23,112,20456,81,2015,1,3476.0
10,24,112,355414,2877,2007,1,3067.06951626658
11,28,113,87486,0,2011,1,3068.44983558083
12,31,113,0,0,1999,1,3069.83077610089
13,32,113,0,0,2004,1,3071.2123381063398
14,34,113,0,0,2010,1,2549.0
15,36,113,1488744,53,2014,1,3072.59452187686
16,37,113,1223078,40,2015,1,3073.97732769229
17,40,113,0,0,2003,1,3075.3607558325602
18,41,113,1558212,10,2012,1,3355.0
19,43,114,171977,27,2016,1,3076.74480657776
20,44,114,100541,0,2013,1,3078.1294802080797
21,45,114,0,0,1999,1,3079.5147770038598
22,46,114,0,0,2004,1,3080.90069724553
23,47,114,266555,30,2009,1,3082.2872412136894
24,48,114,0,0,2010,1,3083.67440918903
25,50,114,109081,8,2014,1,3085.0622014523997
26,51,114,127479,36,2015,1,7997.0
27,52,114,239128,13,2007,1,3086.4506182847304
28,53,114,132276,25,2006,1,3087.83965996713
29,54,114,0,0,2003,1,3025.0
30,57,115,452269,19,2016,1,5737.0
31,61,115,144229,0,2009,1,3089.2293267808
32,66,115,76150,0,2007,1,3090.6196190070696
33,69,115,279103,39,2012,1,4772.0
34,70,116,33767,0,2003,1,3092.01053692742
35,72,116,84301,13,2016,1,3682.0
36,73,116,96346,0,2013,1,3093.40208082342
37,74,116,27849,0,2004,1,3094.7942509768104
38,75,116,80307,3,2009,1,3096.1870476694203
39,76,116,112471,0,2010,1,3097.58047118322
40,80,116,48573,1,2007,1,9218.0
41,81,116,25559,0,2006,1,3098.97452180031
42,84,117,57638,4,2016,1,50208.0
43,85,117,59590,0,2013,1,43604.0
44,86,117,0,0,1999,1,3100.36919980292
